candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ic5_g0_f44bd6f8,IC5_NewGroups,IC5,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic5_g0_f44bd6f8,6957320,"{""persons"": 9892, ""forums"": 90492, ""posts"": 1003605, ""person_knows_person"": 180623, ""forum_has_member_person"": 1611869, ""forum_container_of_post"": 1003605, ""post_has_creator_person"": 1003605, ""comments"": 2052169, ""places"": 1460}",122.37894538100227,completed,
ldbc_snb_ic5_g3_45734260,IC5_NewGroups,IC5,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic5_g3_45734260,6957320,"{""persons"": 9892, ""forums"": 90492, ""posts"": 1003605, ""person_knows_person"": 180623, ""forum_has_member_person"": 1611869, ""forum_container_of_post"": 1003605, ""post_has_creator_person"": 1003605, ""comments"": 2052169, ""places"": 1460}",123.20040764601436,completed,
ldbc_snb_ic5_g4_69144c92,IC5_NewGroups,IC5,secondary_affected,G4,explicit_edge_collection,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic5_g4_69144c92,6957320,"{""persons"": 9892, ""forums"": 90492, ""posts"": 1003605, ""person_knows_person"": 180623, ""forum_has_member_person"": 1611869, ""forum_container_of_post"": 1003605, ""post_has_creator_person"": 1003605, ""comments"": 2052169, ""places"": 1460}",123.89642875801655,completed,
ldbc_snb_ic5_g6_733601c1,IC5_NewGroups,IC5,secondary_affected,G6,referenced_or_reverse_indexed_edges,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic5_g6_733601c1,6957320,"{""persons"": 9892, ""forums"": 90492, ""posts"": 1003605, ""person_knows_person"": 180623, ""forum_has_member_person"": 1611869, ""forum_container_of_post"": 1003605, ""post_has_creator_person"": 1003605, ""comments"": 2052169, ""places"": 1460}",125.17699460498989,completed,
ldbc_snb_ic5_g7_a2002d4c,IC5_NewGroups,IC5,secondary_affected,G7,containment_baseline,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic5_g7_a2002d4c,6957320,"{""persons"": 9892, ""forums"": 90492, ""posts"": 1003605, ""person_knows_person"": 180623, ""forum_has_member_person"": 1611869, ""forum_container_of_post"": 1003605, ""post_has_creator_person"": 1003605, ""comments"": 2052169, ""places"": 1460}",123.77212946402142,completed,
ldbc_snb_ic5_g9_7a7a63d2,IC5_NewGroups,IC5,secondary_affected,G9,hybrid_containment,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic5_g9_7a7a63d2,6957320,"{""persons"": 9892, ""forums"": 90492, ""posts"": 1003605, ""person_knows_person"": 180623, ""forum_has_member_person"": 1611869, ""forum_container_of_post"": 1003605, ""post_has_creator_person"": 1003605, ""comments"": 2052169, ""places"": 1460}",124.7912293469999,completed,
ldbc_snb_ic6_g0_f6a698ed,IC6_TagCoOccurrence,IC6,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic6_g0_f6a698ed,5071184,"{""persons"": 9892, ""posts"": 1003605, ""tags"": 16080, ""person_knows_person"": 180623, ""post_has_creator_person"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",100.08406722798827,completed,
ldbc_snb_ic6_g3_9a00a0b5,IC6_TagCoOccurrence,IC6,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic6_g3_9a00a0b5,5071184,"{""persons"": 9892, ""posts"": 1003605, ""tags"": 16080, ""person_knows_person"": 180623, ""post_has_creator_person"": 1003605, ""post_has_tag"": 713258, ""comments"": 2052169, ""forums"": 90492, ""places"": 1460}",98.96334087499417,completed,
ldbc_snb_ic7_g0_39cfc8f6,IC7_RecentLikers,IC7,primary,G0,root_with_references,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic7_g0_39cfc8f6,8584110,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""person_likes_post"": 751677, ""person_likes_comment"": 1438418, ""person_knows_person"": 180623, ""forums"": 90492, ""places"": 1460}",137.85167011001613,completed,
ldbc_snb_ic7_g3_d6d26f02,IC7_RecentLikers,IC7,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf1_exec_clean_ldbc_snb_ic7_g3_d6d26f02,8584110,"{""persons"": 9892, ""posts"": 1003605, ""comments"": 2052169, ""post_has_creator_person"": 1003605, ""comment_has_creator_person"": 2052169, ""person_likes_post"": 751677, ""person_likes_comment"": 1438418, ""person_knows_person"": 180623, ""forums"": 90492, ""places"": 1460}",136.80822086700937,completed,
