scale_label,run_phase,official_id,query_name,best_config,best_group,best_design_pattern,best_p95_ms
sf0.1,hot,IS4,IS4_ContentOfMessage,G1,primary,single_entity_lookup,1.9409583990636747
sf0.1,hot,IS5,IS5_CreatorOfMessage,G0,primary,root_with_references,1.1096553032984957
sf0.1,hot,IS6,IS6_ForumOfMessage,G9,primary,hybrid_containment,1.170768500014674
sf0.1,hot,IS7,IS7_RepliesOfMessage,G0,primary,root_with_references,7.944003101874841
sf1,hot,IC1,IC1_TransitiveFriendsWithName,G3,primary,root_with_references_or_summaries,227.727482256887
sf1,hot,IC2,IC2_RecentMessagesByFriends,G3,primary,root_with_references_or_summaries,37.090558947238605
sf1,hot,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,G7,secondary_affected,containment_baseline,191.8174951424589
sf1,hot,IC4,IC4_NewTopics,G0,primary,root_with_references,66.38714834698476
sf1,hot,IC5,IC5_NewGroups,G6,secondary_affected,referenced_or_reverse_indexed_edges,176.75362160953227
sf1,hot,IC6,IC6_TagCoOccurrence,G3,primary,root_with_references_or_summaries,198.5287466013688
sf1,hot,IC7,IC7_RecentLikers,G3,primary,root_with_references_or_summaries,7.0093220987473615
sf1,hot,INS1,INS1_AddPerson,G3,primary,root_with_references_or_summaries,1.6241159406490615
sf1,hot,INS2,INS2_AddLikeToPost,G6,primary,referenced_or_reverse_indexed_edges,1.159712503431365
sf1,hot,INS3,INS3_AddLikeToComment,G6,primary,referenced_or_reverse_indexed_edges,1.868959490093402
sf1,hot,INS4,INS4_AddForum,G0,primary,root_with_references,1.39100500382483
sf1,hot,INS5,INS5_AddForumMembership,G4,primary,explicit_edge_collection,2.4009961780393496
sf1,hot,INS6,INS6_AddPost,G9,secondary_affected,hybrid_containment,2.18829244695371
sf1,hot,INS7,INS7_AddComment,G9,secondary_affected,hybrid_containment,2.159610408125445
sf1,hot,INS8,INS8_AddFriendship,G3,primary,root_with_references_or_summaries,1.9326052322867329
sf1,hot,IS1,IS1_ProfileOfPerson,G0,primary,root_with_references,2.110691754205618
sf1,hot,IS2,IS2_RecentMessagesOfPerson,G9,secondary_affected,hybrid_containment,3.2308551410096698
sf1,hot,IS3,IS3_FriendsOfPerson,G0,primary,root_with_references,2.270170148403849
sf1,hot,IS4,IS4_ContentOfMessage,G0,control,root_with_references,2.2880744814756326
sf1,hot,IS5,IS5_CreatorOfMessage,G0,primary,root_with_references,2.577594298054464
sf1,hot,IS6,IS6_ForumOfMessage,G9,primary,hybrid_containment,2.301289017486852
sf1,hot,IS7,IS7_RepliesOfMessage,G9,secondary_affected,hybrid_containment,11.009078891947864
sf3,hot,IC1,IC1_TransitiveFriendsWithName,G3,primary,root_with_references_or_summaries,260.0222475040937
sf3,hot,IC2,IC2_RecentMessagesByFriends,G0,primary,root_with_references,36.10532139864517
sf3,hot,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,G0,primary,root_with_references,205.56545419531176
sf3,hot,IC4,IC4_NewTopics,G0,primary,root_with_references,45.1884718509973
sf3,hot,IC5,IC5_NewGroups,G7,secondary_affected,containment_baseline,193.8014049548656
sf3,hot,IC6,IC6_TagCoOccurrence,G0,primary,root_with_references,253.19213405746268
sf3,hot,IC7,IC7_RecentLikers,G4,secondary_affected,explicit_edge_collection,8.036814247316215
sf3,hot,INS1,INS1_AddPerson,G3,primary,root_with_references_or_summaries,1.432566391304135
sf3,hot,INS2,INS2_AddLikeToPost,G6,primary,referenced_or_reverse_indexed_edges,1.6308153048157683
sf3,hot,INS3,INS3_AddLikeToComment,G4,primary,explicit_edge_collection,1.3124491510097869
sf3,hot,INS4,INS4_AddForum,G3,primary,root_with_references_or_summaries,1.4339607529109342
